1000 56725
170 960 7
265 845 10
264 735 3
934 285 6
559 287 2
820 251 10
336 385 4
471 61 3
787 617 5
215 938 7
488 612 8
653 342 2
846 474 8
709 637 4
579 105 5
217 728 7
214 808 7
719 698 3
225 459 8
574 542 3
189 69 8
552 351 8
539 805 6
922 211 3
208 764 8
894 751 8
752 198 8
996 903 8
663 37 6
992 202 10
193 525 3
851 985 1
249 969 1
6 381 1
774 874 1
289 129 3
78 614 8
900 838 7
111 805 1
219 462 7
165 906 3
147 429 2
953 875 5
457 194 10
158 942 9
351 127 1
474 173 7
154 973 8
473 776 2
911 356 10
105 434 2
278 497 6
746 20 9
612 848 8
762 421 1
848 486 8
284 837 1
507 739 8
45 195 5
206 306 3
326 269 10
151 232 6
805 550 3
50 415 9
616 982 3
134 915 9
489 322 5
164 35 8
7 918 3
725 737 1
926 249 9
630 776 3
7 415 9
730 212 5
168 236 3
588 310 7
223 963 6
975 518 8
907 269 9
739 93 10
748 550 2
139 860 3
410 199 8
703 803 5
840 178 10
54 15 7
311 678 1
494 561 6
606 151 10
806 90 3
856 769 1
20 731 6
582 127 5
33 229 10
448 371 1
526 423 10
191 970 7
6 726 8
454 390 5
137 269 10
135 538 7
31 795 3
907 110 2
548 880 10
988 296 7
718 449 6
80 818 1
312 239 8
595 672 7
143 70 7
143 968 1
704 225 4
698 501 7
379 44 9
341 605 8
889 426 8
658 598 4
20 460 9
758 919 7
530 31 6
610 617 2
962 354 8
76 823 8
783 298 1
166 777 4
246 30 1
831 10 10
32 654 6
459 901 6
671 670 8
702 904 8
268 573 7
850 939 8
74 373 10
157 168 6
791 412 3
54 380 2
634 584 8
92 544 3
398 706 10
535 27 6
833 641 9
53 165 5
750 960 7
642 774 9
534 953 2
442 634 3
941 774 6
446 264 7
844 66 10
666 380 6
246 557 7
870 453 7
433 446 10
245 715 4
82 955 10
30 304 4
485 428 5
508 33 3
90 538 4
19 337 4
152 430 1
433 185 2
271 538 10
274 842 2
380 471 1
718 777 6
703 589 6
924 361 10
335 178 9
443 161 9
575 151 1
31 701 5
390 341 9
772 844 10
754 777 2
162 816 5
972 91 7
992 460 5
488 124 4
440 212 1
516 744 2
16 318 2
984 705 9
605 85 1
806 539 4
525 458 9
62 884 10
299 476 7
243 453 4
654 820 1
547 870 6
742 99 1
837 678 10
253 663 7
998 538 7
501 784 7
853 534 2
148 872 6
648 224 1
494 198 4
845 472 10
902 766 9
309 904 2
256 561 6
515 967 3
667 249 2
126 614 2
829 545 6
243 899 2
669 416 9
296 43 4
667 410 10
96 35 2
279 84 3
195 284 3
753 622 7
813 499 3
482 545 4
192 467 3
39 832 4
361 409 3
854 436 8
688 494 3
48 945 6
404 649 1
630 861 4
35 629 8
856 214 8
624 194 2
501 518 6
975 402 9
328 371 6
888 87 2
908 31 6
549 643 4
108 560 5
707 353 9
43 543 4
899 345 3
655 28 4
241 892 6
97 68 7
717 416 4
562 575 1
593 342 7
809 496 9
358 757 3
126 951 9
486 181 4
680 943 2
308 326 6
998 489 9
805 725 2
225 173 10
944 159 10
410 722 1
924 291 2
420 525 7
603 474 2
325 860 3
251 248 10
130 931 8
291 441 7
912 870 3
9 470 5
248 395 8
932 919 2
65 47 6
353 252 1
149 27 5
602 239 7
976 135 5
148 28 2
424 787 3
424 320 5
786 224 3
450 666 7
422 107 9
940 792 4
728 563 8
80 503 9
543 75 7
231 805 2
239 315 1
767 543 2
648 587 5
820 957 6
906 754 5
489 74 7
66 695 5
808 623 3
416 667 4
830 723 9
951 41 4
96 868 2
23 223 8
294 978 9
946 884 4
248 868 10
752 411 7
299 547 9
555 549 3
957 645 4
531 155 7
964 642 3
743 832 5
209 52 10
844 692 1
553 756 9
926 331 9
119 674 9
666 495 7
799 829 3
782 140 8
834 20 9
377 850 10
261 546 9
769 12 2
655 565 1
262 837 1
170 585 10
440 532 9
109 952 3
334 320 10
405 308 3
364 710 1
